    _   A   U   F   B   A   U   S   C   H

_   0   1   2   3   4   5   6   7   8   9

A   1   0   1   2   3   4   5   6   7   8

U   2   1   0   1   2   3   4   5   6   7

S   3   2   1   1   2   3   4   4   5   6

T   4   3   2   2   2   3   4   5   5   6

A   5   4   3   3   3   2   3   4   5   6

U   6   5   4   4   4   3   2   3   4   5

S   7   6   5   5   5   4   3   2   3   4

C   8   7   6   6   6   5   4   3   2   3

H   9   8   7   7   7   6   5   4   3   2



    _   B   A   R   B   A   R   A

_   0   1   2   3   4   5   6   7

B   1   0   1   2   3   4   5   6

A   2   1   0   1   2   3   4   5

R   3   2   1   0   1   2   3   4

B   4   3   2   1   0   1   2   3

A   5   4   3   2   1   0   1   2

R   6   5   4   3   2   1   0   1

E   7   6   5   4   3   2   1   1

N   8   7   6   5   4   3   2   2



    _   C   O   C   A   I   N   A

_   0   1   2   3   4   5   6   7

C   1   0   1   2   3   4   5   6

O   2   1   0   1   2   3   4   5

C   3   2   1   0   1   2   3   4

A   4   3   2   1   0   1   2   3

C   5   4   3   2   1   1   2   3

O   6   5   4   3   2   2   2   3

L   7   6   5   4   3   3   3   3

A   8   7   6   5   4   4   4   3
